22.09.14 21:57
Статистика проекта

                    	Сегменты	  Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	  118134	1099223	               5740714	              6675727	              173	
Осталось:           	  117951	1098638	               5736518	              6671155	              173	
Уникальные:         	   84625	 974570	               5081677	              5924972	              172	
Осталось уникальных:	   84608	 974317	               5080301	              5923386	              172	


Статистика по отдельным файлам:

Имя файла               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (включая пробелы)	Осталось символов (включая пробелы)	Уникальные символы (включая пробелы)	Осталось уникальных символов (включая пробелы)	
pods\perlrecharclass.pod	            583	               582	                512	                          512	      6800	         6798	            6610	                    6610	                        34840	                           34823	                            33794	                                      33794	                           41582	                              41564	                               40412	                                         40412	
pods\perlref.pod        	            407	               406	                361	                          361	      4592	         4590	            4498	                    4498	                        23738	                           23721	                            23291	                                      23291	                           27708	                              27690	                               27193	                                         27193	
pods\perlreftut.pod     	            279	               278	                233	                          233	      3183	         3181	            3021	                    3021	                        14684	                           14667	                            13724	                                      13724	                           17627	                              17609	                               16437	                                         16437	
pods\perlreguts.pod     	            532	               531	                465	                          465	      6025	         6023	            5950	                    5950	                        29532	                           29515	                            29149	                                      29149	                           35245	                              35227	                               34829	                                         34829	
pods\perlrequick.pod    	            307	               306	                268	                          268	      2800	         2798	            2723	                    2723	                        13700	                           13683	                            13304	                                      13304	                           16279	                              16261	                               15827	                                         15827	
pods\perlreref.pod      	            301	               300	                275	                          275	      1859	         1857	            1821	                    1821	                        10290	                           10273	                            10011	                                      10011	                           12733	                              12715	                               12424	                                         12424	
pods\perlretut.pod      	           1752	              1751	               1373	                         1373	     18696	        18694	           17399	                   17399	                        92352	                           92335	                            85915	                                      85915	                          108862	                             108844	                              101138	                                        101138	
pods\perlriscos.pod     	             32	                31	                 17	                           17	       252	          250	             195	                     195	                         1260	                            1243	                              999	                                        999	                            1458	                               1440	                                1158	                                          1158	
pods\perlrun.pod        	            656	               655	                602	                          602	      8786	         8784	            8563	                    8563	                        43469	                           43452	                            42405	                                      42405	                           50543	                              50525	                               49356	                                         49356	
pods\perlsec.pod        	            292	               291	                257	                          257	      3954	         3952	            3796	                    3796	                        20560	                           20543	                            19711	                                      19711	                           23945	                              23927	                               22967	                                         22967	
pods\perlsolaris.pod    	            392	               391	                363	                          363	      4694	         4692	            4622	                    4622	                        23503	                           23486	                            23111	                                      23111	                           28046	                              28028	                               27565	                                         27565	
pods\perlsource.pod     	            115	               114	                104	                          104	      1126	         1124	            1099	                    1099	                         5519	                            5502	                             5370	                                       5370	                            6404	                               6386	                                6240	                                          6240	
pods\perlstyle.pod      	            156	               155	                104	                          104	      1396	         1394	            1278	                    1278	                         7064	                            7047	                             6440	                                       6440	                            8241	                               8223	                                7513	                                          7513	
pods\perlsub.pod        	            854	               853	                732	                          732	      9421	         9419	            9265	                    9265	                        48776	                           48759	                            47771	                                      47771	                           57014	                              56996	                               55912	                                         55912	
pods\perlsymbian.pod    	            263	               262	                239	                          239	      2491	         2489	            2407	                    2407	                        12552	                           12535	                            12079	                                      12079	                           14700	                              14682	                               14163	                                         14163	
pods\perlsyn.pod        	            592	               591	                496	                          496	      6977	         6975	            6792	                    6792	                        34359	                           34342	                            33382	                                      33382	                           40351	                              40333	                               39251	                                         39251	
pods\perlthrtut.pod     	            678	               677	                587	                          587	      7410	         7408	            7269	                    7269	                        37529	                           37512	                            36689	                                      36689	                           43805	                              43787	                               42901	                                         42901	
pods\perltie.pod        	            671	               670	                487	                          487	      5903	         5901	            5386	                    5386	                        30013	                           29996	                            27451	                                      27451	                           35003	                              34985	                               32036	                                         32036	
pods\perltoc.pod        	          16988	             16987	               7215	                         7215	     92151	        92149	           69520	                   69520	                       575856	                          575839	                           453790	                                     453790	                          635888	                             635870	                              501871	                                        501871	
pods\perltodo.pod       	              5	                 4	                  3	                            3	        60	           58	              56	                      56	                          308	                             291	                              281	                                        281	                             354	                                336	                                 325	                                           325	
pods\perltooc.pod       	              6	                 5	                  1	                            1	        27	           25	               6	                       6	                          153	                             136	                               35	                                         35	                             172	                                154	                                  41	                                            41	
pods\perltoot.pod       	              6	                 5	                  1	                            1	        27	           25	               6	                       6	                          153	                             136	                               35	                                         35	                             172	                                154	                                  41	                                            41	
pods\perltrap.pod       	            185	               184	                118	                          118	      1331	         1329	            1230	                    1230	                         6640	                            6623	                             6116	                                       6116	                            7749	                               7731	                                7139	                                          7139	
pods\perltru64.pod      	             77	                76	                 68	                           68	      1269	         1267	            1223	                    1223	                         6478	                            6461	                             6232	                                       6232	                            7540	                               7522	                                7260	                                          7260	
pods\perltw.pod         	             93	                92	                 69	                           69	       986	          984	             923	                     923	                         4487	                            4470	                             4116	                                       4116	                            4788	                               4770	                                4397	                                          4397	
pods\perlunicode.pod    	            940	               939	                775	                          775	     11481	        11479	           11187	                   11187	                        59512	                           59495	                            57903	                                      57903	                           69712	                              69694	                               67901	                                         67901	
pods\perlunifaq.pod     	            159	               159	                154	                          154	      2334	         2334	            2322	                    2322	                        11372	                           11372	                            11317	                                      11317	                           13306	                              13306	                               13244	                                         13244	
pods\perluniintro.pod   	            466	               465	                405	                          405	      5846	         5844	            5734	                    5734	                        30205	                           30188	                            29570	                                      29570	                           34863	                              34845	                               34155	                                         34155	
pods\perluniprops.pod   	           4084	              4083	               3707	                         3707	     24523	        24521	           23686	                   23686	                       162864	                          162847	                           157110	                                     157110	                          187939	                             187921	                              181962	                                        181962	
pods\perlunitut.pod     	            123	               122	                111	                          111	      1326	         1324	            1303	                    1303	                         6579	                            6562	                             6430	                                       6430	                            7668	                               7650	                                7508	                                          7508	
pods\perlutil.pod       	            141	               140	                115	                          115	      1633	         1631	            1594	                    1594	                         8346	                            8329	                             8148	                                       8148	                            9556	                               9538	                                9339	                                          9339	
pods\perlvar.pod        	           1083	              1082	                945	                          945	     11848	        11846	           11345	                   11345	                        60271	                           60254	                            57632	                                      57632	                           69807	                              69789	                               66799	                                         66799	
pods\perlvms.pod        	            499	               498	                451	                          451	      8867	         8865	            8793	                    8793	                        43804	                           43787	                            43427	                                      43427	                           51270	                              51252	                               50850	                                         50850	
pods\perlvos.pod        	             54	                54	                 43	                           43	       603	          603	             572	                     572	                         3228	                            3228	                             3092	                                       3092	                            3720	                               3720	                                3565	                                          3565	
pods\perlwin32.pod      	            419	               418	                360	                          360	      5794	         5792	            5477	                    5477	                        29822	                           29805	                            28226	                                      28226	                           34495	                              34477	                               32658	                                         32658	
pods\perlxs.pod         	           1155	              1154	                863	                          863	     11241	        11239	           10769	                   10769	                        58479	                           58462	                            55453	                                      55453	                           67829	                              67811	                               64596	                                         64596	
pods\perlxstut.pod      	            617	               616	                552	                          552	      8193	         8191	            8061	                    8061	                        40924	                           40907	                            40221	                                      40221	                           48132	                              48114	                               47314	                                         47314	
pods\perlxstypemap.pod  	            365	               364	                305	                          305	      4053	         4051	            3839	                    3839	                        19371	                           19354	                            18384	                                      18384	                           22729	                              22711	                               21577	                                         21577	
